# CVS $Revision: $ $Author: $ -- Mon Feb 13 00:00:00 2023 -- formatted by stoneageartisans

SOURCELONG:Living Greyhawk Gazetteer		SOURCESHORT:LG		SOURCEDATE:2023-02

# *** BEGIN - Deities from Living Greyhawk Gazetteer ***
#Deity Name			Unique Key				Domains																	Deity Weapon													Align			Pantheon						Source Page				Type					Description
Al'Akbar			KEY:Al'Akbar			DOMAINS:Good,Healing,Law,Protection|PREALIGN:LG,LN,NG					DEITYWEAP:Falchion												ALIGN:LG		FACTSET:Pantheon|Baklunish 		SOURCEPAGE:p.164		TYPE:Demigod			DESC:Al'Akbar (ahl AHK-bar) ~ Male ~ High Cleric, Restorer of Righteousness   <b>Portfolio:</b> Guardianship, Faithfulness, Dignity, and Duty
Syrul				KEY:Syrul				DOMAINS:Evil,Knowledge,Trickery|PREALIGN:LE,TN,NE,CE					DEITYWEAP:Dagger												ALIGN:NE		FACTSET:Pantheon|Suel			SOURCEPAGE:p.183		TYPE:Lesser				DESC:Syrul (SIGH-rul) ~ Female ~ The Forked Tongue, Night Hag, Oathbreaker   <b>Portfolio:</b> Lies, Deceit, Treachery, and False Promises
Telchur				KEY:Telchur				DOMAINS:Air,Chaos,Strength|PREALIGN:TN,CG,CN,CE							DEITYWEAP:Shortspear|Shortbow									ALIGN:CN		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.184		TYPE:Lesser				DESC:Telchur (TEL-chur) ~ Male ~ Icebrother   <b>Portfolio:</b> Winter, Cold, and North Wind
Tharizdun			KEY:Tharizdun			DOMAINS:Destruction,Evil,Knowledge|PREALIGN:LE,TN,NE,CE					DEITYWEAP:Dagger												ALIGN:NE		FACTSET:Pantheon|All			SOURCEPAGE:p.184		TYPE:Intermediate		DESC:Tharizdun (tha-RIZ-dun) ~ Male ~ The Dark God, He of Eternal Darkness   <b>Portfolio:</b> Eternal Darkness, Decay, Entropy, Malign Knowledge, and Insanity
Trithereon			KEY:Trithereon			DOMAINS:Chaos,Good,Protection,Strength|PREALIGN:NG,CG,CN				DEITYWEAP:Shortspear|Longsword|Greatclub						ALIGN:CG		FACTSET:Pantheon|All			SOURCEPAGE:p.185		TYPE:Intermediate		DESC:Trithereon (tri-THEH-ree-on) ~ Male ~ The Summoner   <b>Portfolio:</b> Individuality, Liberty, Retribution, and Self-Defense
Ulaa				KEY:Ulaa				DOMAINS:Earth,Good,Law|PREALIGN:LG,LN,NG								DEITYWEAP:Warhammer												ALIGN:LG		FACTSET:Pantheon|All			SOURCEPAGE:p.185		TYPE:Intermediate		DESC:Ulaa (OO-lah) ~ Female ~ The Stonewife   <b>Portfolio:</b> Hills, Mountains, and Gemstones
Vatun				KEY:Vatun				DOMAINS:Air,Animal,Chaos,Strength|PREALIGN:TN,CG,CN,CE					DEITYWEAP:Battleaxe												ALIGN:CN		FACTSET:Pantheon|Suel			SOURCEPAGE:p.185		TYPE:Lesser				DESC:Vatun (VAY-tun) ~ Male ~ The North God   <b>Portfolio:</b> Northern Barbarians, Cold, Winter, and Arctic Beasts
Vecna				KEY:Vecna				DOMAINS:Evil,Knowledge,Magic|PREALIGN:LE,TN,NE,CE						DEITYWEAP:Dagger|Quarterstaff									ALIGN:NE		FACTSET:Pantheon|Flan			SOURCEPAGE:p.186		TYPE:Lesser				DESC:Vecna (VEK-nah) ~ Male ~ The Arch-Lich, Master of the Spider Throne, the Whispered One   <b>Portfolio:</b> Destructive and Evil Secrets
Velnius				KEY:Velnius				DOMAINS:Air,Travel,Water|PREALIGN:LN,NG,TN,CN							DEITYWEAP:Shortspear											ALIGN:TN		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.186		TYPE:Lesser				DESC:Velnius (VEL-nee-us) ~ Male ~ The Rainshroud, the Elder Breeze   <b>Portfolio:</b> Sky and Weather
Wastri				KEY:Wastri				DOMAINS:Animal,Law,War|PREALIGN:LE,LN,TN								DEITYWEAP:Glaive|Guisarme										ALIGN:LN		FACTSET:Pantheon|All			SOURCEPAGE:p.187		TYPE:Demigod			DESC:Wastri (WAH-stree) ~ Male ~ The Hopping Prophet, Hammer of False Humans   <b>Portfolio:</b> Amphibians, Bigotry, and Self-Deception
Wee Jas				KEY:Wee Jas				DOMAINS:Death,Law,Magic|PREALIGN:LE,LN,TN								DEITYWEAP:Dagger												ALIGN:LN		FACTSET:Pantheon|Suel			SOURCEPAGE:p.187		TYPE:Lesser				DESC:Wee Jas (WEE jas) ~ Female ~ The Witch Goddess, Ruby Sorceress, Stern Lady, Death’s Guardian   <b>Portfolio:</b> Magic, Death, Vanity, and Law
Wenta				KEY:Wenta				DOMAINS:Air,Chaos,Good,Plant|PREALIGN:NG,CG,CN							DEITYWEAP:Club													ALIGN:CG		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.187		TYPE:Lesser				DESC:Wenta (WEN-tah) ~ Female ~ The Alewife, Harvest Daughter   <b>Portfolio:</b> Autumn, West Wind, Harvest, and Brewing
Xan Yae				KEY:Xan Yae				DOMAINS:Knowledge,Trickery,War|PREALIGN:LN,NG,TN,NE,CN					DEITYWEAP:Falchion|Strike (Unarmed)								ALIGN:TN		FACTSET:Pantheon|Baklunish		SOURCEPAGE:p.188		TYPE:Lesser				DESC:Xan Yae (zan YAY) ~ Female ~ Lady of Perfection   <b>Portfolio:</b> Twilight, Shadows, Stealth, and Mental Power
Xerbo				KEY:Xerbo				DOMAINS:Animal,Knowledge,Water|PREALIGN:LN,NG,TN,NE,CN					DEITYWEAP:Trident												ALIGN:TN		FACTSET:Pantheon|Suel			SOURCEPAGE:p.188		TYPE:Lesser				DESC:Xerbo (ZER-boh) ~ Male ~ The Sea Dragon   <b>Portfolio:</b> Sea, Sailing, Money, and Business
Zagyg				KEY:Zagyg				DOMAINS:Chaos,Knowledge,Magic|PREALIGN:TN,CG,CN							DEITYWEAP:Dagger												ALIGN:CN		FACTSET:Pantheon|All			SOURCEPAGE:p.189		TYPE:Demigod			DESC:Zagyg (ZA-gig) ~ Male ~ The Mad Arch-Mage   <b>Portfolio:</b> Humor, Eccentricity, Occult Lore, and Unpredictability
Zilchus				KEY:Zilchus				DOMAINS:Knowledge,Law,Trickery|PREALIGN:LG,LN,TN,LE						DEITYWEAP:Dagger												ALIGN:LN		FACTSET:Pantheon|Oeridian		SOURCEPAGE:p.189		TYPE:Intermediate		DESC:Zilchus (ZIL-chus) ~ Male ~ The Great Guildmaster, the Money Counter   <b>Portfolio:</b> Power, Prestige, Money, Business, and Influence
Zodal				KEY:Zodal				DOMAINS:Good,Healing,Protection|PREALIGN:LG,NG,TN,CG					DEITYWEAP:Strike (Unarmed)										ALIGN:NG		FACTSET:Pantheon|Flan			SOURCEPAGE:p.190		TYPE:Lesser				DESC:Zodal (ZOH-dal) ~ Male ~ The Gray Son, the Gentle Hand   <b>Portfolio:</b> Mercy, Hope, and Benevolence
Zuoken				KEY:Zuoken				DOMAINS:Knowledge,Strength,War|PREALIGN:LN,NG,TN,NE,CN					DEITYWEAP:Strike (Unarmed)										ALIGN:TN		FACTSET:Pantheon|Baklunish		SOURCEPAGE:p.190		TYPE:Demigod			DESC:Zuoken (zoo-OH-ken) ~ Master of Da'Shon and Edel, Servant of the Lady   <b>Portfolio:</b> Physical and Mental Mastery
# *** END - Deities from Living Greyhawk Gazetteer ***

#

SOURCELONG:Living-Greyhawk-Deities-v2-0.pdf		SOURCESHORT:LGD		SOURCEDATE:2023-02

