# CVS $Revision: $ $Author: $ -- Fri Feb 03 00:00:00 2023 -- formatted by stoneageartisans

SOURCELONG:Living Greyhawk Gazetteer	SOURCESHORT:LG	SOURCEDATE:2023-02

CATEGORY=Internal|Default.MOD		BONUS:ABILITYPOOL|Human Ethnicity|1|TYPE=Base|PRERACE:1,Human

###Block: Human Ethnicity
# Ability					Name									Category of Ability			Type										Template							Regional options																																		Sourcepage			Description
Undefined Ethnicity			KEY:Human Ethnicity ~ Undefined			CATEGORY:Internal			TYPE:Human Ethnicity.Oerik Ethnicity		TEMPLATE:Ethnicity ~ Undefined		PREMULT:1,[!PREABILITY:1,CATEGORY=Internal,TYPE.Oerik Ethnicity],[PREABILITY:1,CATEGORY=Internal,Human Ethnicity ~ Undefined]							SOURCEPAGE:p.5			DESC:Your physical features can be any from the whole range of possibilities of all ethnic groups.<br><b>Background:</b> Your ethnicity is undefined. You are a mixture of several enthic types, have a very rare combination of recessive traits, or something else...
# Ability Name												Output Name											Sorting Key											Category of Ability		Type							Visible				Template															Source Page				Description
Common Region ~ Unspecified									OUTPUTNAME:Unspecified								SORTKEY:aaa Unspecified								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Unspecified								SOURCEPAGE:p.17			DESC:Any unspecified region of the Flanaess (or somewhere else...)<br><b>Typical Alignments:</b> Any<br><b>Favored Deities:</b> Any
Common Region ~ Adri Forest									OUTPUTNAME:Adri Forest								SORTKEY:Adri Forest									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Adri Forest								SOURCEPAGE:p.139		DESC:This vast, ancient broadleaf forest is filled with game animals and fine wood. It has shrunk in area by about half since the Great Kingdom was founded, thanks to land-clearing for farms, fires, logging, and woodcutting. Resources from the Adri include wood for shipbuilding, homes, furniture, and weapons; game animals hunted for furs, food, and trophies; fruits and nuts; and fish from the Harp River. Armed foresters led by rangers resist incursions by Ahlissa and North Kingdom. A half-dozen druidic faiths are present, notably that of Obad-Hai. Ehlonna’s faith supports the rangers and is very militant. A legendary ancient elven city is said to lie at the heart of the Adri, in a dangerous region called the Coldwood.<br><b>Typical Alignments:</b> NG, N, CG, CN<br><b>Favored Deities:</b> Ehlonna, Elven pantheon, Obad-Hai
Common Region ~ Ahlissa										OUTPUTNAME:Ahlissa									SORTKEY:Ahlissa										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Ahlissa									SOURCEPAGE:p.21			DESC:At its height a few hundred years ago, the empire spanned the Flanaess from the Solnor Coast to the Fals Gap, from the Azure Sea in the south to the Icy Sea in the north. Centuries of conflict and wars of independence have made the kingdom a shadow of its former self. Some of the splendor remains, of course. The fabulously wealthy capital city, Kalstrand, is a haven for smugglers and black marketers. Anything can be had there for a price.<br><b>Typical Alignments:</b> LG, LN, LE*, N, NE, CN, CE, LG<br><b>Favored Deities:</b> Boccob, Delleb, Elven pantheon, Fharlanghn, Halfling pantheon, Hextor, Kord, Kurell, Norebo, Oeridian agricultural gods, Olidammara, Orcish pantheon, Procan, Ralishaz, Rudd, Syrul, various goblinoid gods, Wee Jas, Xerbo, Zilchus*
Common Region ~ Amedio Jungle								OUTPUTNAME:Amedio Jungle							SORTKEY:Amedio Jungle								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Amedio Jungle								SOURCEPAGE:p.139		DESC:The Amedio is a vast tropical rainforest extending southward more than 300 leagues. Tribes of savage humans (Suel and Olman) live here, among fierce animals, man-eating monsters, intelligent apes, and haunted ruins. The jungle also holds many carnivorous and poisonous plants, whose medicinal and magical properties are very powerful. Additionally, the Amedio Jungle is home to numerous ruins, settlements, and geographical features of interest, including the cities of Cauldron, Sasserine, and Xamaclan, and the ruins of Kuluth-Mar.<br><b>Typical Alignments:</b> Any<br><b>Favored Deities:</b> Fharlanghn, Kord, Olidammara, Olman pantheon, Osprem, Pelor, Procan, Saint Cuthbert, Suel pantheon, Wee Jas, Xerbo
Common Region ~ Bandit Kingdoms								OUTPUTNAME:Bandit Kingdoms							SORTKEY:Bandit Kingdoms								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Bandit Kingdoms							SOURCEPAGE:p.25			DESC:Those who would visit the Bandit Kingdoms do so with care. Iuz’s occupying army is an obvious threat, and roving bands of thieves and mercenaries are greedy and capricious. Rulership of individual bands changes without warning, and today’s friend is likely to be tomorrow’s foe.<br><b>Typical Alignments:</b> LE, NE, N, CG, CN, CE*<br><b>Favored Deities:</b> Erythnul, Fharlanghn, Hextor, Iuz*, Kurell, Nerull, Norebo, Olidammara, Orcish pantheon, Pholtus, Ralishaz, Rudd, Trithereon, various goblinoid gods
Common Region ~ Bissel										OUTPUTNAME:Bissel									SORTKEY:Bissel										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Bissel										SOURCEPAGE:p.32			DESC:Bissel is at the northernmost reach of the great Sheldomar Valley, on a broad plain bounded by the Barrier Peaks on the west and northwest, the Fals River on the northeast, and the Lorridges on the east. The irregular southern border lies about thirty miles north of Hookhill in Gran March. The northeastern edge of the Dim Forest is claimed and settled by Bisselite woodsmen.<br><b>Typical Alignments:</b> LG, LN*, NG, N<br><b>Favored Deities:</b> Fharlanghn, Geshtai, Heironeous, Istus, Rao, Zilchus
Common Region ~ Blackmoor									OUTPUTNAME:Blackmoor								SORTKEY:Blackmoor									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Blackmoor									SOURCEPAGE:p.33			DESC:The Archbarony of Blackmoor is possibly the most remote realm in all the Flanaess, situated between the western shores of the Icy Sea and the eastern edge of the Burneal Forest. The land of Blackmoor also includes the northern fringe of the Cold Marshes, and fully encompasses the Gloomfens, as the locals call the northern arm of the marshes. The northern border is vague, but few settlements lie within sight of the ominous Land of Black Ice.<br><b>Typical Alignments:</b> LN, LE, NE*, CE<br><b>Favored Deities:</b> Unknown
Common Region ~ Bone March									OUTPUTNAME:Bone March								SORTKEY:Bone March									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Bone March									SOURCEPAGE:p.35			DESC:Bone March is a small realm located north of the treacherous waters of the Teesar Torrent, nestled between the Rakers and the coast of the Solnor. While the march once held the distinction of being the northernmost frontier of Great Kingdom before the founding of Ratik, it is now steeped in discord, ruled by a coalition of invading nonhuman tribes, particularly orcs, gnolls, and ogres. Only the small, autonomous county of Knurl is secure at present, aside from a handful of nearly forgotten gnome strongholds in the Blemu Hills.<br><b>Typical Alignments:</b> LN, LE*, N, CE<br><b>Favored Deities:</b> Beltar, Erythnul, Hextor, Kord, Oeridian agricultural gods, Orcish pantheon
Common Region ~ Bright Lands								OUTPUTNAME:Bright Lands								SORTKEY:Bright Lands								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Bright Lands								SOURCEPAGE:p.37			DESC:From his tower, the archmage, Rary the Traitor, claims the entire Bright Desert as his personal demesne. From the feet of the Abbor-Alz to the rocky shores of Woolly Bay, armies of desert nomads, goblinoids, and mercenaries ride, enforcing the will of their liege upon the simple folk of the desert, proclaiming every oasis for their reclusive ruler.<br><b>Typical Alignments:</b> N, NE*, CN, CE<br><b>Favored Deities:</b> Beory, Istus, Obad-Hai, Pelor; Geshtai, various goblin gods
Common Region ~ Celadon Forest								OUTPUTNAME:Celadon Forest							SORTKEY:Celadon Forest								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Celadon Forest								SOURCEPAGE:p.139		DESC:The Celadon Forest lies within Nyrond and the Duchy of Urnst, but is unclaimed by either. Duke Karll enjoys great friendship with the generally peaceful elves and woodsmen of the western woodlands. Mighty oaks and elms grow here, tended by treants, sylvan elves, and similar beings. These folk prevent the cutting of any live tree from the forest; the humans and elves who trade with the outside world are generally herbalists. <i>Keoghtom’s Ointment</i> is said to derive from reagents gathered here. <br><b>Typical Alignments:</b> NG, N, CG<br><b>Favored Deities:</b> Ehlonna, Elf pantheon, Obad-Hai
Common Region ~ Celene										OUTPUTNAME:Celene									SORTKEY:Celene										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Celene										SOURCEPAGE:p.38			DESC:Celene is the principal nation of the elves in the Flanaess. Ruled by an elven monarch of Faerie lineage, the Grand Court is imbibed of the Fey Mysteries, from the frolics to the passions, and all rites are observed with deliberate care.<br><b>Typical Alignments:</b> LG, LN, NG, N, CG*<br><b>Favored Deities:</b> Ehlonna, Elf pantheon*, Gnomish pantheon, Halfling pantheon, Phaulkon, Phyton
Common Region ~ Crystalmist Mountains						OUTPUTNAME:Crystalmist Mountains					SORTKEY:Crystalmist Mountains						CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Crystalmist Mountains						SOURCEPAGE:p.142		DESC:The highest peaks in the Flanaess are in the Crystalmists, the massive midsection of a range that divides the Flanaess from the rest of Oerik. Amid the summits and valleys of the Crystalmists dwell giants, ogres, orcs, goblins, and other monsters. Precious metals and gems are found here as well, dug out by armed mountain dwarves who trade with humans on either side of the range. Barbaric cavemen are scattered throughout.<br><b>Typical Alignments:</b> LN*, all others<br><b>Favored Deities:</b> Dwarven pantheon, Giant pantheon, Orcish pantheon, various goblin gods, some others
Common Region ~ Dyvers										OUTPUTNAME:Dyvers									SORTKEY:Dyvers										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Dyvers										SOURCEPAGE:p.40			DESC:The city of Dyvers is located in perhaps the most lucrative trading nexus in all the Flanaess, a fact that has benefited it greatly throughout its long history. The city’s position on the southern banks of the mouth of the Velverdyva River allows Dyvers to capture the flow of trade from markets such as Schwartzenbruin, Highfolk Town, Thornward, and Verbobonc. Of course, trade flows up the Velverdyva, as well, so Dyvers sees much traffic from the Nyr Dyv and her various port cities.<br><b>Typical Alignments:</b> LG, LN, NG, N*, CN<br><b>Favored Deities:</b> Fharlanghn, Pelor, St. Cuthbert, Zilchus*, many others
Common Region ~ Ekbir										OUTPUTNAME:Ekbir									SORTKEY:Ekbir										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Ekbir										SOURCEPAGE:p.42			DESC:The Caliphate of Ekbir's southern and eastern borders are formed by the Tuflik and Blashikmund rivers, while her northern border follows the Yatils to their terminus in the Yecha Hills. This arm of the mountains is filled by the Udgru Forest, a largely untamed region where the caliph’s authority does not go unchallenged. Ekbir, located on the coast of the Dramidj Ocean, boasts one of the most imposing fortresses in all the Flanaess within her capital city. The city is also a destination for pilgrims wishing to pray at the Mosque of Al’Akbar.<br><b>Typical Alignments:</b> LG*, LN, NG, N<br><b>Favored Deities:</b> Al’Akba*r, Geshtai*, Istus*, Mouqol*, Pelor*, other Baklunish gods
Common Region ~ Frost Barbarians							OUTPUTNAME:Frost Barbarians							SORTKEY:Frost Barbarians							CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Frost Barbarians							SOURCEPAGE:p.43			DESC:The Frost Barbarians, or Fruztii, dwell in the lands above the Timberway Forest, bounded by the Griff and Corusk Mountains to the west and north. The western edge of the Spikey Forest marks the border with the Snow Barbarians, and the southern and eastern shores of the kingdom of Fruztii end at the waters of Grendep Bay. Longships of the Frost Barbarians, often in cooperation with the other Suel barbarians, raid southward in spring to pillage along the coast of the new Great Kingdom of Northern Aerdy and sometimes further south.<br><b>Typical Alignments:</b> N, CN*<br><b>Favored Deities:</b> Kord, Llerg, Norebo, Syrul, Vatun, Xerbo
Common Region ~ Furyondy									OUTPUTNAME:Furyondy									SORTKEY:Furyondy									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Furyondy									SOURCEPAGE:p.45			DESC:The king of Furyondy rules with support of the Seven Families - each controlling a single province in the kingdom. While the king has preeminence, each noble lives in a court that rivals that of the king himself. Opulence and splendor sparkle amid the seven provinces, and rivalry for reputations’ sake is not unknown.<br><b>Typical Alignments:</b> LG*, LN, NG<br><b>Favored Deities:</b> Beory, Fharlanghn, Heironeous, Mayaheine, Rao, St. Cuthbert, Trithereon, Zilchus
Common Region ~ Gamboge Forest								OUTPUTNAME:Gamboge Forest							SORTKEY:Gamboge Forest								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Gamboge Forest								SOURCEPAGE:p.140		DESC:The ancient, dense Gamboge Forest lies between the states of Nyrond and the Pale, though neither claims it. Thousands of humans, gnomes, and sylvan and high elves live here among the bronzewood, oak, elm, and hornwood trees. Ogres and hobgoblins from the mountains raid woodland villages or the plains beyond. Despite the dangers, the Gamboge is fairly peaceful, ready to trade wood, fruits, nuts, or tubers to Nyrond or, less often, the Pale.<br><b>Typical Alignments:</b> NG, N, CG*, CN<br><b>Favored Deities:</b> Ehlonna, Elven pantheon, Gnomish pantheon, Obad-Hai
Common Region ~ Geoff										OUTPUTNAME:Geoff									SORTKEY:Geoff										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Geoff										SOURCEPAGE:p.47			DESC:The land of Geoff is utterly devastated. Its villages are ghost towns, and armies of orcs and giants of all varieties have inhabited the cities, taking as slaves those humans they did not kill and eat. Few buildings have escaped ruin, and the land’s forests are being harvested for unknown purposes. Nearly everything that once was Geoff has been erased. The giants hold all land from the Crystalmist mountains in all directions but east, where the Realstream, Dim Forest, Oytwood, and Stark Mounds demarcate a chaotic, violent border with Gran March.<br><b>Typical Alignments:</b> LG, LN, NG, N, CG, CN, CE*<br><b>Favored Deities:</b> Allitur, Beory, Ehlonna, Elven pantheon, Fharlanghn, Gnomish pantheon, Norebo, Obad-Hai, Pelor, Phyton, St. Cuthbert
Common Region ~ Glorioles									OUTPUTNAME:Glorioles								SORTKEY:Glorioles									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Glorioles									SOURCEPAGE:p.142		DESC:Though not as lofty as most ranges in the Flanaess, the Glorioles are the tallest for hundreds of miles around, visible from the capitals of Ahlissa and Sunndi alike. These peaks are home to a semi-independent dwarven kingdom closely allied with Sunndi and the Iron League. Despite their general dislike of elvenkind, the proud dwarves of the Glorioles regard Ahlissa as the greater threat by far. Humans, gnomes, and halflings live on the lower slopes.<br><b>Typical Alignments:</b> LG*, LN, NG, N, CG<br><b>Favored Deities:</b> Dwarven pantheon, Gnomish pantheon, Halfling pantheon, some others
Common Region ~ Gran March									OUTPUTNAME:Gran March								SORTKEY:Gran March									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Gran March									SOURCEPAGE:p.49			DESC:Gran March is an exceptionally martial nation. At age fifteen, all fit males enter mandatory conscription for a period of up to seven years. Girls may join the rank and file as well, though this is something of a modern development. The fact that many of these young men and women continue to pursue military careers after their initial enlistment periods is a testament to national pride and the respect the army receives in Gran March.<br><b>Typical Alignments:</b> LG, LN*, N<br><b>Favored Deities:</b> Allitur, Beory, Ehlonna, Elven pantheon, Fharlanghn, Gnomish pantheon, Norebo, Obad-Hai, Pelor, Phyton, St. Cuthbert
