# CVS $Revision: $ $Author: $ -- Sun Feb 05 00:00:00 2023 -- formatted by stoneageartisans

###Block: Subrace Support

# Human Ethnicity
# Template Name			Unique Key							Visible				Subrace						Favored Class							Automatic Languages
Undefined				KEY:Ethnicity ~ Undefined			VISIBLE:NO			SUBRACE:Undefined			FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Baklunish				KEY:Ethnicity ~ Baklunish			VISIBLE:NO			SUBRACE:Baklunish			FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Flan					KEY:Ethnicity ~ Flan				VISIBLE:NO			SUBRACE:Flan				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Oeridian				KEY:Ethnicity ~ Oeridian			VISIBLE:NO			SUBRACE:Oeridian			FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Olman					KEY:Ethnicity ~ Olman				VISIBLE:NO			SUBRACE:Olman				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Rhennee					KEY:Ethnicity ~ Rhennee				VISIBLE:NO			SUBRACE:Rhennee				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Suloise					KEY:Ethnicity ~ Suloise				VISIBLE:NO			SUBRACE:Suloise				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common


# Common Regions										Knowledge Skill											Visibility		Automatic Languages							Language Selection Bonuses																					Region										Kit Choices
Common Region ~ Unspecified																						VISIBLE:NO		AUTO:LANG|Common																																		REGION:Unspecified
Common Region ~ Crystalmist Mountains					CSKILL:Knowledge (Crystalmist Mountains)				VISIBLE:NO		AUTO:LANG|Common|Dwarven					LANGBONUS:Draconic,Giant,Goblin,Orc																			REGION:Crystalmist Mountains				KIT:1|Extra gold|Black Adder venom x1|Breastplate|Chain Shirt|Chainmail|MW Heavy Steel Shield|MW Heavy Wood Shield|MW Hide|MW Light Steel Shield|MW Light Wood Shield|MW Scale Mail|MW Studded Leather|MW thieves tools|Scroll of Lesser Restoration
Common Region ~ Dyvers									CSKILL:Knowledge (Dyvers)								VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Ancient Baklunish,Dwarven,Elven,Flan,Gnome,Halfling,Old Oeridian,Orc,Rhopan,Ancient Suloise		REGION:Dyvers								KIT:1|Double extra gold|Black Adder venom x3|Cure Light Wounds potion x3|Cure Moderate Wounds potion x1|Elixir of Swimming|Healer's Kit & two Antitoxins|MW Bandoleer|MW Blade Boot|MW Chain Shirt|MW Cutlass|MW Dagger|MW Javelin|MW Light Crossbow|MW Potion Belt|MW Rapier|MW Studded Leather|MW thieves tools|Scroll of Lesser Restoration
Common Region ~ Ekbir									CSKILL:Knowledge (Ekbir)								VISIBLE:NO		AUTO:LANG|Common|Ancient Baklunish			LANGBONUS:Elven,Halfling																					REGION:Ekbir								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Composite Shortbow (Str +1)|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Large Scorpion venom x1|Light Warhorse & gear|MW Bandoleer|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Frost Barbarians						CSKILL:Knowledge (Frost Barbarians)						VISIBLE:NO		AUTO:LANG|Common|Cold Tongue				LANGBONUS:Dwarven,Halfling,Ancient Suloise																	REGION:Frost Barbarians						KIT:1|Extra gold|Chain Shirt|Healer's Kit & two Antitoxins|MW Bandoleer|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather
Common Region ~ Furyondy								CSKILL:Knowledge (Furyondy)								VISIBLE:NO		AUTO:LANG|Common|Velondi					LANGBONUS:Ancient Baklunish,Dwarven,Elven,Flan,Gnome,Halfling,Old Oeridian,Orc,Ancient Suloise				REGION:Furyondy								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Bandoleer|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Gamboge Forest							CSKILL:Knowledge (Gamboge Forest)						VISIBLE:NO		AUTO:LANG|Common|Elven|Gnome				LANGBONUS:Giant,Goblin,Old Oeridian,Ancient Suloise,Sylvan													REGION:Gamboge Forest						KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Composite Longbow (Str +1)|Healer's Kit & two Antitoxins|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools|Scroll of Lesser Restoration
Common Region ~ Geoff									CSKILL:Knowledge (Geoff)								VISIBLE:NO		AUTO:LANG|Common|Flan|Keolandish			LANGBONUS:Dwarven,Elven,Gnome,Goblin,Halfling,Old Oeridian,Orc,Ancient Suloise								REGION:Geoff								KIT:1|Extra gold|Black Adder venom x1|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Light Warhorse & gear|MW Heavy Steel Shield|MW Heavy Wood Shield|MW Hide|MW Light Steel Shield|MW Light Wood Shield|MW Scale Mail|MW Studded Leather|MW thieves tools|Scroll of Lesser Restoration
Common Region ~ Glorioles								CSKILL:Knowledge (Glorioles)							VISIBLE:NO		AUTO:LANG|Common|Dwarven					LANGBONUS:Flan,Giant,Gnome,Halfling,Old Oeridian															REGION:Glorioles							KIT:1|Extra gold|Black Adder venom x1|Breastplate|Chain Shirt|Chainmail|MW Heavy Steel Shield|MW Heavy Wood Shield|MW Hide|MW Light Steel Shield|MW Light Wood Shield|MW Scale Mail|MW Studded Leather|MW thieves tools|Scroll of Lesser Restoration
Common Region ~ Gran March								CSKILL:Knowledge (Gran March)							VISIBLE:NO		AUTO:LANG|Common|Keolandish					LANGBONUS:Dwarven,Elven,Flan,Gnome,Halfling,Old Oeridian,Orc,Ancient Suloise								REGION:Gran March							KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|Scroll of Lesser Restoration
Common Region ~ Greyhawk								CSKILL:Knowledge (Greyhawk)								VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Ancient Baklunish,Dwarven,Elven,Flan,Gnome,Halfling,Old Oeridian,Orc,Rhopan,Ancient Suloise		REGION:Greyhawk								KIT:1|Double extra gold|Black Adder venom x3|Cure Light Wounds potion x3|Cure Moderate Wounds potion x1|Healer's Kit & two Antitoxins|MW Bandoleer|MW Blade Boot|MW Chain Shirt|MW Light Crossbow|MW Potion Belt|MW Rapier|MW Studded Leather|MW thieves tools|Scroll of Lesser Restoration
Common Region ~ Highfolk								CSKILL:Knowledge (Highfolk)								VISIBLE:NO		AUTO:LANG|Common|Elven						LANGBONUS:Dwarven,Gnome,Halfling,Old Oeridian,Orc,Ancient Suloise,Sylvan									REGION:Highfolk								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Composite Longbow (Str +1)|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Ice Barbarians							CSKILL:Knowledge (Ice Barbarians)						VISIBLE:NO		AUTO:LANG|Common|Cold Tongue				LANGBONUS:Dwarven,Halfling,Ancient Suloise																	REGION:Ice Barbarians						KIT:1|Extra gold|Chain Shirt|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather
Common Region ~ Iron Hills								CSKILL:Knowledge (Iron Hills)							VISIBLE:NO		AUTO:LANG|Common|Dwarven					LANGBONUS:Gnome,Old Oeridian																				REGION:Iron Hills							KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|Scroll of Lesser Restoration
Common Region ~ Irongate								CSKILL:Knowledge (Irongate)								VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Dwarven,Ferral,Halfling,Old Oeridian,Ancient Suloise												REGION:Irongate								KIT:1|Double extra gold|Cure Light Wounds potion x3|Cure Moderate Wounds potion x1|Elixir of Swimming|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Bandoleer|MW Breastplate|MW Chain Shirt|MW Chainmail|MW Cutlass|MW Dagger|MW Heavy Steel Shield|MW Javelin|MW Light Crossbow|MW Light Steel Shield|MW Longsword|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Empire of Iuz							CSKILL:Knowledge (Empire of Iuz)						VISIBLE:NO		AUTO:LANG|Common|Orc						LANGBONUS:Ancient Baklunish,Flan,Gnome,Goblin,Halfling,Old Oeridian,Orc,Ancient Suloise						REGION:Empire of Iuz						KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|MW Bandoleer|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Potion Belt|MW Studded Leather|MW thieves tools|Scroll of Lesser Restoration
Common Region ~ Keoland									CSKILL:Knowledge (Keoland)								VISIBLE:NO		AUTO:LANG|Common|Keolandish					LANGBONUS:Dwarven,Elven,Flan,Gnome,Halfling,Old Oeridian,Ancient Suloise									REGION:Keoland								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Bandoleer|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Ket										CSKILL:Knowledge (Ket)									VISIBLE:NO		AUTO:LANG|Common|Ancient Baklunish			LANGBONUS:Dwarven,Halfling,Old Oeridian,Ancient Suloise														REGION:Ket									KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|Scroll of Lesser Restoration
Common Region ~ Lendore Isles							CSKILL:Knowledge (Lendore Isles)						VISIBLE:NO		AUTO:LANG|Common|Elven						LANGBONUS:Lendorian,Old Oeridian,Ancient Suloise															REGION:Lendore Isles						KIT:1|Extra gold|Chain Shirt|Composite Longbow (Str +1)|Healer's Kit & two Antitoxins|MW Bandoleer|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Lordship of the Isles					CSKILL:Knowledge (Lordship of the Isles)				VISIBLE:NO		AUTO:LANG|Common|Ancient Suloise			LANGBONUS:Dwarven,Elven,Gnome,Halfling,Old Oeridian,Olman,Orc												REGION:Lordship of the Isles				KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Healer's Kit & two Antitoxins|MW Bandoleer|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools
Common Region ~ Lortmil Mountains						CSKILL:Knowledge (Lortmil Mountains)					VISIBLE:NO		AUTO:LANG|Common|Dwarven					LANGBONUS:Giant,Gnome,Halfling																				REGION:Lortmil Mountains					KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|Scroll of Lesser Restoration
Common Region ~ North Kingdom							CSKILL:Knowledge (North Kingdom)						VISIBLE:NO		AUTO:LANG|Common|Old Oeridian				LANGBONUS:Flan,Goblin,Halfling,Orc,Ancient Suloise															REGION:North Kingdom						KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Healer's Kit & two Antitoxins|MW Bandoleer|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools
Common Region ~ Nyrond									CSKILL:Knowledge (Nyrond)								VISIBLE:NO		AUTO:LANG|Common|Nyrondese|Old Oeridian		LANGBONUS:Dwarven,Elven,Gnome,Halfling,Orc,Ancient Suloise													REGION:Nyrond								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Bandoleer|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Onnwal									CSKILL:Knowledge (Onnwal)								VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Dwarven,Elven,Gnome,Halfling,Old Oeridian,Ancient Suloise											REGION:Onnwal								KIT:1|Double extra gold|Black Adder venom x3|Elixir of Swimming|Healer's Kit & two Antitoxins|MW Bandoleer|MW Battleaxe|MW Chain Shirt|MW Chainmail|MW Cutlass|MW Dagger|MW Heavy Wood Shield|MW Hide|MW Javelin|MW Light Crossbow|MW Light Wood Shield|MW Morningstar|MW Scourge|MW Studded Leather|MW thieves tools
Common Region ~ Theocracy of the Pale					CSKILL:Knowledge (Theocracy of the Pale)				VISIBLE:NO		AUTO:LANG|Common|Flan						LANGBONUS:Elven,Halfling,Old Oeridian																		REGION:Theocracy of the Pale				KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|Scroll of Lesser Restoration
Common Region ~ Plains of the Paynims					CSKILL:Knowledge (Plains of the Paynims)				VISIBLE:NO		AUTO:LANG|Common|Ancient Baklunish			LANGBONUS:Elven,Halfling,Old Oeridian,Ancient Suloise,Sylvan												REGION:Plains of the Paynims				KIT:1|Extra gold|Chain Shirt|Composite Shortbow (Str +1)|Healer's Kit & two Antitoxins|Large Scorpion venom x1|Light Warhorse & gear|MW Studded Leather
Common Region ~ Perrenland								CSKILL:Knowledge (Perrenland)							VISIBLE:NO		AUTO:LANG|Common|Flan|Old Oeridian			LANGBONUS:Ancient Baklunish,Dwarven,Elven,Gnome,Halfling,Orc,Ancient Suloise								REGION:Perrenland							KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Bandoleer|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Pomarj									CSKILL:Knowledge (Pomarj)								VISIBLE:NO		AUTO:LANG|Common|Orc						LANGBONUS:Elven,Flan,Goblin,Halfling,Old Oeridian,Ancient Suloise											REGION:Pomarj								KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Healer's Kit & two Antitoxins|MW Bandoleer|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools
Common Region ~ Ratik									CSKILL:Knowledge (Ratik)								VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Cold Tongue,Dwarven,Elven,Flan,Gnome,Halfling,Old Oeridian,Orc,Ancient Suloise					REGION:Ratik								KIT:1|Double extra gold|Cure Light Wounds potion x3|Cure Moderate Wounds potion x1|Elixir of Swimming|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Bandoleer|MW Bastard Sword|MW Battleaxe|MW Breastplate|MW Chain Shirt|MW Chainmail|MW Cutlass|MW Dagger|MW Greataxe|MW Greatsword|MW Heavy Steel Shield|MW Heavy Wood Shield|MW Hide|MW Javelin|MW Light Crossbow|MW Light Steel Shield|MW Light Wood Shield|MW Longsword|MW Maul|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Rel Astra and the Solnor Compact		CSKILL:Knowledge (Rel Astra and the Solnor Compact)		VISIBLE:NO		AUTO:LANG|Common|Old Oeridian				LANGBONUS:Dwarven,Elven,Gnome,Halfling,Lendorian,Old Oeridian,Orc,Ancient Suloise							REGION:Rel Astra and the Solnor Compact		KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|MW Bandoleer|MW Potion Belt|MW Studded Leather|MW thieves tools|Scroll of Lesser Restoration
Common Region ~ Rovers of the Barrens					CSKILL:Knowledge (Rovers of the Barrens)				VISIBLE:NO		AUTO:LANG|Common|Flan|Orc					LANGBONUS:Ancient Baklunish,Gnome,Goblin,Halfling															REGION:Rovers of the Barrens				KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Composite Shortbow (Str +1)|Light Warhorse & gear|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools
Common Region ~ Scarlet Brotherhood						CSKILL:Knowledge (Scarlet Brotherhood)					VISIBLE:NO		AUTO:LANG|Common|Ancient Suloise			LANGBONUS:Elven,Halfling																					REGION:Scarlet Brotherhood					KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Healer's Kit & two Antitoxins|MW Bandoleer|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools
Common Region ~ Sea Barons								CSKILL:Knowledge (Sea Barons)							VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Dwarven,Elven,Gnome,Halfling,Old Oeridian,Orc,Ancient Suloise										REGION:Sea Barons							KIT:1|Double extra gold|Black Adder venom x3|Elixir of Swimming|Healer's Kit & two Antitoxins|MW Bandoleer|MW Battleaxe|MW Chain Shirt|MW Chainmail|MW Cutlass|MW Dagger|MW Heavy Wood Shield|MW Hide|MW Javelin|MW Light Crossbow|MW Light Wood Shield|MW Morningstar|MW Scourge|MW Studded Leather|MW thieves tools
Common Region ~ Sea Princes								CSKILL:Knowledge (Sea Princes)							VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Amedi,Dwarven,Elven,Flan,Gnome,Halfling,Keolandish,Olman,Old Oeridian,Orc,Ancient Suloise			REGION:Sea Princes							KIT:1|Double extra gold|Black Adder venom x3|Elixir of Swimming|Healer's Kit & two Antitoxins|MW Bandoleer|MW Battleaxe|MW Chain Shirt|MW Chainmail|MW Cutlass|MW Dagger|MW Heavy Wood Shield|MW Hide|MW Javelin|MW Light Crossbow|MW Light Wood Shield|MW Morningstar|MW Scourge|MW Studded Leather|MW thieves tools
Common Region ~ Shield Lands							CSKILL:Knowledge (Shield Lands)							VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Dwarven,Elven,Flan,Gnome,Halfling,Old Oeridian,Orc,Ancient Suloise								REGION:Shield Lands							KIT:1|Double extra gold|Cure Light Wounds potion x3|Cure Moderate Wounds potion x1|Elixir of Swimming|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Bandoleer|MW Breastplate|MW Chain Shirt|MW Chainmail|MW Cutlass|MW Dagger|MW Heavy Steel Shield|MW Javelin|MW Light Crossbow|MW Light Steel Shield|MW Longsword|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Snow Barbarians							CSKILL:Knowledge (Snow Barbarians)						VISIBLE:NO		AUTO:LANG|Common|Cold Tongue				LANGBONUS:Dwarven,Elven,Gnome,Halfling,Orc,Ancient Suloise													REGION:Snow Barbarians						KIT:1|Extra gold|Chain Shirt|Healer's Kit & two Antitoxins|MW Bandoleer|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather
Common Region ~ Sterich									CSKILL:Knowledge (Sterich)								VISIBLE:NO		AUTO:LANG|Common|Flan						LANGBONUS:Dwarven,Elven,Gnome,Halfling,Keolandish,Old Oeridian,Orc,Ancient Suloise							REGION:Sterich								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|Scroll of Lesser Restoration
Common Region ~ Stonehold								CSKILL:Knowledge (Stonehold)							VISIBLE:NO		AUTO:LANG|Common|Cold Tongue|Flan			LANGBONUS:Dwarven,Orc,Ancient Suloise																		REGION:Stonehold							KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Composite Shortbow (Str +1)|Light Warhorse & gear|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools
Common Region ~ Sunndi									CSKILL:Knowledge (Sunndi)								VISIBLE:NO		AUTO:LANG|Common|Old Oeridian				LANGBONUS:Dwarven,Elven,Gnome,Halfling,Ancient Suloise														REGION:Sunndi								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Composite Longbow (Str +1)|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Tenh									CSKILL:Knowledge (Tenh)									VISIBLE:NO		AUTO:LANG|Common|Flan						LANGBONUS:Dwarven,Elven,Gnome,Goblin,Halfling,Orc															REGION:Tenh									KIT:1|Extra gold|Black Adder venom x1|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Light Warhorse & gear|MW Heavy Steel Shield|MW Heavy Wood Shield|MW Hide|MW Light Steel Shield|MW Light Wood Shield|MW Scale Mail|MW Studded Leather|MW thieves tools|Scroll of Lesser Restoration
Common Region ~ Tiger Nomads							CSKILL:Knowledge (Tiger Nomads)							VISIBLE:NO		AUTO:LANG|Common|Ordai						LANGBONUS:Ancient Baklunish,Elven,Halfling																	REGION:Tiger Nomads							KIT:1|Extra gold|Chain Shirt|Composite Shortbow (Str +1)|Light Warhorse & gear|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather
Common Region ~ Tusmit									CSKILL:Knowledge (Tusmit)								VISIBLE:NO		AUTO:LANG|Common|Ancient Baklunish			LANGBONUS:Ancient Baklunish,Dwarven,Elven,Gnome,Halfling,Orc												REGION:Tusmit								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Composite Shortbow (Str +1)|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Large Scorpion venom x1|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
